sid0	sid1	pvalue
1_12	1_9	0.0777891432404
1_10	1_9	0.0800346591435
1_25	1_4	0.08704289893
1_36	1_9	0.0998088124146
1_28	1_25	0.130854554718
1_4	1_9	0.13849134571
1_25	1_21	0.169849199318
1_34	1_4	0.172013298035
1_25	1_11	0.240296264875
1_28	1_4	0.254225763993
1_34	1_32	0.254383814439
1_10	1_4	0.285746689726
1_10	1_36	0.329240057703
1_10	1_11	0.403789548196
1_13	1_25	0.436409561394
1_13	1_36	0.458208620993
1_34	1_9	0.485456259831
1_10	1_25	0.508642319862
1_4	1_32	0.585230346053
1_10	1_21	0.623722016984
1_34	1_36	0.625730898774
1_12	1_4	0.650032252349
1_13	1_32	0.662344771693
1_10	1_32	0.678280851239
1_25	1_9	0.683266132531
1_36	1_11	0.692692861285
1_34	1_25	0.696605472433
1_25	1_32	0.697591547741
1_36	1_32	0.701796361432
1_28	1_36	0.816588598658
1_12	1_25	0.83111777356
1_36	1_21	0.832073389493
1_12	1_32	0.857927611621
1_25	1_36	0.858843603473
1_4	1_36	0.877385426315
1_12	1_36	0.891541113088
1_28	1_32	0.975261936323
1_35	1_32	0.999997309734
1_10	1_37	0.999997364089
1_13	1_9	0.999997624022
1_39	1_9	0.999997654681
1_39	1_13	0.999997717234
1_35	1_36	0.999997881683
1_35	1_21	0.999997916129
1_34	1_37	0.999997916129
1_25	1_37	0.999997951155
1_12	1_37	0.999997951155
1_35	1_4	0.999998023067
1_12	1_21	0.999998060022
1_35	1_11	0.999998097695
1_39	1_32	0.999998136129
1_34	1_21	0.99999821548
1_12	1_11	0.999998256509
1_34	1_13	0.999998298527
1_12	1_39	0.999998385841
1_28	1_11	0.999998385841
1_39	1_36	0.999998385841
1_35	1_25	0.999998431319
1_35	1_39	0.999998478156
1_35	1_37	0.999998478156
1_39	1_37	0.999998478156
1_28	1_21	0.999998576445
1_35	1_9	0.999998682044
1_35	1_13	0.999998682044
1_13	1_4	0.999998682044
1_36	1_37	0.999998738154
1_34	1_11	0.999998796877
1_28	1_13	0.999998858617
1_28	1_39	0.999998923894
1_10	1_13	0.999998993395
1_12	1_13	0.999998993395
1_28	1_9	0.999998993395
1_4	1_21	0.999998993395
1_28	1_37	0.999999068065
1_10	1_39	0.999999239078
1_4	1_11	0.999999341022
1_39	1_4	0.999999341022
1_13	1_11	0.999999461947
1_39	1_11	0.999999461947
1_39	1_21	1.0
1_34	1_39	1.0
1_13	1_37	1.0
1_13	1_21	1.0
1_39	1_25	1.0
1_4	1_37	1.0
